#FactTable
ID,D1,D2,Fact1,Fact2
1,A,Z,99,914
2,B,X,70,888
3,A,Z,10,91
4,B,Z,34,779
5,B,Y,85,410
6,C,X,41,544
7,A,Z,88,170
8,C,X,44,961
9,A,Z,53,806
10,A,Z,80,759
11,A,Z,8,742
12,C,X,46,289
13,B,Y,39,397
14,C,Z,49,109
15,C,Z,25,365
16,A,X,88,553
17,B,X,70,33
18,B,Y,77,568
19,B,Y,85,686
20,B,Z,13,246
21,A,Z,93,793
22,B,Z,36,490
23,A,X,86,419
24,A,X,6,808
25,B,Z,39,927
26,C,X,53,823
27,A,Z,82,308
28,C,Z,56,688
29,A,Z,66,750
30,B,Y,52,36
31,B,Y,13,578
32,C,Z,9,109
33,A,Y,68,380
34,B,Y,62,643
35,B,X,37,507
36,B,Z,14,980
37,A,Y,88,730
38,C,X,72,762
39,A,Z,40,10
40,C,X,54,905
41,C,Z,95,957
42,A,Z,37,483
43,C,Y,47,638
44,A,Z,73,816
45,A,Y,75,631
46,A,Y,6,514
47,B,X,40,133
48,B,X,3,326
49,C,Z,20,153
50,A,X,58,934
51,A,Z,4,902
52,B,X,56,52
53,A,Z,89,840
54,B,X,75,491
55,C,Z,87,761
56,C,X,2,541
57,A,Z,20,630
58,B,Z,29,580
59,B,X,30,767
60,B,Z,98,398
61,B,X,23,678
62,C,X,8,193
63,C,X,9,140
64,C,Y,42,630
65,A,X,94,341
66,C,Y,84,317
67,B,Z,23,572
68,A,Z,73,354
69,B,Y,50,158
70,C,Y,72,855
71,A,Z,65,475
72,A,Y,29,328
73,C,X,70,482
74,A,X,20,167
75,A,X,8,613
76,A,Y,61,18
77,A,Y,60,778
78,A,X,39,622
79,A,X,90,794
80,C,Z,6,678
81,A,Y,36,893
82,C,Y,89,82
83,B,X,11,540
84,B,Y,61,475
85,B,X,74,91
86,A,X,37,463
87,B,X,59,183
88,B,Y,22,991
89,B,Y,17,552
90,A,Y,46,692
91,B,Y,81,242
92,C,Y,7,871
93,A,X,54,253
94,B,X,42,710
95,C,Y,26,889
96,A,Y,35,682
97,C,Z,68,894
98,A,Z,23,260
99,B,Z,94,573
100,C,Z,53,79
101,C,Y,25,795
102,B,Y,50,343
103,A,Z,34,121
104,B,X,89,691
105,B,Y,39,340
106,A,X,76,47
107,C,Z,63,971
108,C,Y,36,750
109,C,Y,89,855
110,C,Y,58,627
111,B,Y,8,333
112,C,X,12,340
113,C,X,1,798
114,C,Z,37,354
115,C,Y,6,505
116,C,X,10,753
117,A,Z,70,324
118,B,X,43,219
119,C,X,15,989
120,C,Y,87,560
121,B,Z,39,740
122,C,Y,34,932
123,B,X,36,180
124,A,X,9,202
125,C,Z,96,605
126,C,X,3,86
127,A,Y,56,441
128,C,X,37,15
129,A,Y,61,336
130,A,Y,21,249
131,C,Z,20,159
132,A,Z,31,500
133,C,Z,74,766
134,C,Y,21,178
135,C,Y,34,137
136,A,X,99,497
137,A,X,91,828
138,A,Y,83,149
139,B,Y,51,731
140,C,Y,36,566
141,A,Y,63,124
142,B,X,75,15
143,C,Y,76,157
144,C,X,70,937
145,C,X,59,989
146,B,Z,93,212
147,A,X,76,245
148,A,X,55,932
149,A,X,81,516
150,A,Y,36,628
151,C,X,85,334
152,C,X,99,337
153,A,Z,77,550
154,A,Y,4,76
155,A,Y,62,975
156,B,Z,39,75
157,C,Z,72,183
158,A,X,12,90
159,A,Z,86,164
160,B,Z,86,474
161,A,X,79,175
162,C,Z,12,162
163,B,Y,2,202
164,B,Z,13,859
165,B,X,43,587
166,A,Z,24,347
167,A,Y,70,263
168,A,Y,49,362
169,B,Z,38,640
170,B,X,13,805
171,C,X,52,798
172,B,Y,83,404
173,A,Y,25,580
174,A,Z,21,821
175,B,Z,17,675
176,C,X,16,105
177,B,Y,15,371
178,B,X,37,233
179,B,X,88,707
180,A,Z,36,456
181,A,Y,21,734
182,A,Z,55,243
183,B,Z,11,914
184,C,X,72,945
185,B,X,62,184
186,B,Y,40,170
187,A,X,22,55
188,A,X,66,862
189,B,Z,11,791
190,C,Z,94,418
191,A,Y,28,462
192,C,X,53,402
193,C,X,33,264
194,B,X,8,815
195,B,Z,39,677
196,B,Z,47,709
197,C,Z,55,540
198,A,Z,23,789
199,A,X,21,491
200,B,Y,69,647
201,A,Y,87,114
202,C,X,33,76
203,C,X,65,943
204,A,X,84,408
205,C,Z,17,458
206,C,Z,44,761
207,C,Y,74,118
208,B,X,68,479
209,B,Z,81,826
210,A,Y,80,552
211,A,Y,82,16
212,A,Z,77,269
213,C,Y,35,539
214,C,X,44,761
215,B,Z,57,134
216,B,Y,25,895
217,A,Z,65,358
218,A,Y,49,582
219,C,X,33,569
220,B,X,9,339
221,B,Y,16,398
222,C,Y,35,310
223,A,X,25,127
224,B,Y,85,193
225,B,Z,45,787
226,B,Z,88,316
227,B,Z,48,895
228,B,Y,83,541
229,C,X,6,103
230,C,Z,54,134
231,C,Y,67,980
232,A,X,53,82
233,B,Z,22,686
234,C,Y,92,431
235,B,Z,76,61
236,B,Z,77,999
237,B,X,63,922
238,B,Y,47,798
239,A,Z,14,655
240,C,X,27,763
241,C,X,44,708
242,A,Z,98,483
243,B,Z,42,306
244,B,Y,13,964
245,A,Z,39,424
246,A,X,19,972
247,A,X,42,41
248,C,Y,28,682
249,B,Z,6,726
250,C,Z,61,29
251,B,Z,11,345
252,C,X,96,583
253,A,Z,66,523
254,C,X,27,850
255,A,Z,22,66
256,B,Z,24,275
257,B,X,54,336
258,B,X,86,868
259,A,Z,80,509
260,A,Z,49,461
261,A,Y,37,742
262,A,Y,2,445
263,A,Z,56,644
264,A,Y,87,438
265,B,Z,72,262
266,A,X,62,959
267,C,Z,47,187
268,C,Y,74,978
269,B,Y,73,76
270,B,Z,13,63
271,B,Y,61,637
272,C,Z,92,180
273,B,Y,4,942
274,B,X,22,917
275,A,X,78,200
276,B,X,54,511
277,C,X,39,572
278,B,X,59,91
279,B,Z,53,546
280,A,Z,66,356
281,A,Z,53,732
282,B,Y,81,859
283,B,Z,75,39
284,C,Z,14,358
285,B,Y,9,539
286,C,X,70,475
287,C,X,55,559
288,B,Y,84,983
289,C,Z,51,1
290,C,Y,35,853
291,A,Y,96,758
292,B,Y,39,69
293,B,X,83,592
294,B,Y,71,765
295,C,Z,15,839
296,B,X,32,860
297,B,X,45,640
298,B,Z,33,918
299,C,X,32,348
300,A,Z,82,175
301,B,Z,65,911
302,A,Y,21,600
303,B,X,11,398
304,B,Y,83,381
305,C,X,36,896
306,A,Y,96,930
307,C,Z,55,639
308,A,X,30,651
309,C,X,97,949
310,A,Y,45,93
311,C,X,15,52
312,A,X,81,377
313,A,Y,33,46
314,A,Y,93,347
315,A,X,55,801
316,B,X,79,662
317,C,X,40,652
318,A,Y,52,340
319,A,Z,58,108
320,B,Y,25,890
321,C,Z,17,21
322,B,Y,22,168
323,A,Z,12,202
324,A,Y,38,491
325,A,Z,35,407
326,A,X,34,869
327,A,X,23,221
328,B,X,17,630
329,A,Y,37,657
330,C,X,65,228
331,C,Y,27,241
332,C,Y,78,257
333,A,Z,90,218
334,A,X,79,997
335,C,X,32,176
336,A,X,33,569
337,C,X,26,335
338,C,Y,8,214
339,A,Z,64,637
340,B,Y,77,58
341,B,X,17,736
342,B,Y,41,331
343,A,X,6,738
344,A,Y,42,442
345,B,X,46,37
346,A,Z,86,928
347,A,Z,27,41
348,B,Z,74,376
349,C,Y,55,135
350,C,Z,73,791
351,A,Y,70,804
352,C,Y,93,658
353,B,Z,19,711
354,B,Z,29,260
355,C,Y,37,170
356,B,Y,44,908
357,C,X,91,524
358,C,Z,5,402
359,B,X,69,251
360,C,Y,72,824
361,A,Z,57,250
362,A,Z,67,745
363,C,Z,11,835
364,B,Z,94,667
365,B,X,59,392
366,C,Z,9,723
367,C,Z,26,946
368,B,X,39,68
369,A,Y,17,264
370,C,Y,16,765
371,A,Z,43,568
372,C,Y,4,684
373,A,X,55,959
374,C,Z,21,655
375,B,Z,31,586
376,C,Y,91,494
377,B,X,52,532
378,A,X,19,754
379,B,X,72,220
380,B,X,29,649
381,C,Z,84,461
382,C,Z,31,499
383,A,Z,66,662
384,B,X,86,639
385,A,X,99,466
386,A,X,70,316
387,A,X,69,770
388,C,Y,35,90
389,A,Y,55,764
390,B,Z,91,101
391,A,Y,50,856
392,C,Z,24,60
393,B,Y,6,837
394,A,X,31,571
395,B,Z,25,32
396,C,Y,34,485
397,A,X,29,665
398,A,X,9,425
399,A,Y,60,659
400,C,Z,97,344
401,B,Y,90,33
402,A,Z,9,505
403,A,Z,10,258
404,A,X,27,232
405,A,X,71,478
406,B,Z,88,434
407,C,Z,43,540
408,C,Z,32,976
409,B,Z,29,574
410,A,Z,80,581
411,B,Y,69,163
412,B,Y,96,709
413,B,Y,86,709
414,B,Z,78,961
415,B,Y,25,750
416,B,Z,63,509
417,C,X,61,414
418,C,Z,97,791
419,B,X,89,695
420,B,X,69,32
421,B,X,27,17
422,C,Y,54,773
423,A,Z,20,645
424,A,Z,67,440
