#FactTable
ID,D1,D2,D3,D4,Fact1,Fact2,Fact3
1,A,Z,D,K,24,393,175
2,B,Y,F,J,25,684,94
3,A,X,F,K,5,559,115
4,B,Y,D,K,50,1,162
5,B,Y,F,L,88,361,269
6,C,X,F,J,31,692,225
7,A,Z,F,L,55,551,234
8,C,Z,E,J,26,90,337
9,A,Z,E,L,21,75,67
10,A,Z,D,J,98,500,457
11,A,Y,D,L,58,739,126
12,C,Z,D,J,24,636,139
13,B,Z,F,J,28,344,113
14,C,Z,F,J,30,97,219
15,C,Z,E,J,34,852,156
16,A,Z,E,K,54,283,185
17,B,X,D,L,52,719,121
18,B,Y,D,J,87,33,322
19,B,Z,F,J,8,116,449
20,B,Z,E,K,10,455,198
21,A,Y,E,L,55,866,345
22,B,Z,F,K,1,429,291
23,A,Y,D,J,84,828,464
24,A,X,E,J,37,826,4
25,B,Z,E,J,82,691,189
26,C,Z,E,J,21,174,239
27,A,X,E,J,4,746,166
28,C,Z,E,K,43,133,172
29,A,X,F,J,66,442,212
30,B,X,F,L,21,94,345
31,B,Z,F,L,37,348,71
32,C,X,D,L,69,402,149
33,A,Z,E,J,81,420,391
34,B,Z,F,J,48,707,285
35,B,Z,E,L,11,405,116
36,B,X,E,J,95,942,391
37,A,X,E,L,92,186,323
38,C,X,E,L,44,976,93
39,A,Y,D,J,64,376,477
40,C,Z,F,K,32,677,103
41,C,X,F,K,21,874,358
42,A,Y,D,K,71,703,380
43,C,Z,E,J,10,517,198
44,A,Z,E,J,61,498,110
45,A,Z,D,K,92,499,330
46,A,Y,D,J,36,206,101
47,B,X,D,J,84,415,183
48,B,X,F,K,77,366,334
49,C,X,E,L,19,856,406
50,A,X,F,L,75,739,160
51,A,Z,E,J,99,420,82
52,B,Z,F,L,98,586,36
53,A,X,D,K,44,219,238
54,B,X,F,K,4,952,244
55,C,X,D,L,13,539,251
56,C,Y,E,K,59,375,393
57,A,Z,E,L,2,23,255
58,B,X,E,L,1,461,282
59,B,X,D,K,40,720,22
60,B,Y,D,L,25,355,430
61,B,X,D,J,59,603,230
62,C,Z,D,J,37,52,471
63,C,Y,D,L,70,999,401
64,C,Y,D,K,7,815,154
65,A,Y,E,K,4,721,495
66,C,X,D,L,99,574,120
67,B,X,F,L,41,445,166
68,A,X,F,K,61,816,384
69,B,Y,E,J,34,105,386
70,C,Y,E,L,29,641,390
71,A,Z,E,J,69,395,199
72,A,Y,F,L,27,972,397
73,C,X,E,J,97,910,347
74,A,X,E,L,52,328,75
75,A,Y,D,K,74,607,439
76,A,Z,E,L,54,519,79
77,A,Y,F,K,70,686,319
78,A,Y,E,J,34,246,73
79,A,Y,E,K,8,415,200
80,C,X,D,K,95,528,302
81,A,X,D,L,73,170,134
82,C,X,E,L,85,167,48
83,B,Y,E,J,8,310,188
84,B,Z,F,K,68,940,171
85,B,Y,E,J,86,595,452
86,A,Y,F,J,92,392,139
87,B,X,F,J,68,221,243
88,B,X,E,L,85,834,314
89,B,Y,F,J,72,682,476
90,A,Z,F,K,84,835,346
91,B,X,D,J,96,115,388
92,C,Z,E,L,1,861,126
93,A,Z,E,K,6,335,207
94,B,Y,E,J,92,742,339
95,C,Y,F,K,31,220,198
96,A,Y,E,L,74,247,187
97,C,Z,E,J,84,101,389
98,A,X,E,J,8,416,18
99,B,X,F,J,22,222,198
100,C,Y,D,L,93,179,448

#D1
D1,Col1,Col2
A,A1,A2
B,B1,B2
C,C1,C2

#D2
D2,Col1,Col2
X,X1,X2
Y,Y1,Y2
Z,Z1,Z2

#D3
D3,Col1,Col2
D,D1,D2
E,E1,E2
F,F1,F2

#D4
D4,Col1,CoL2
J,J1,J2
K,K1,K2
L,L1,L2
